Unnamed: 0,Work Location,Region,Year,Number,Origin_Latitude,Origin_Longitude,Local Attendee,Conference Location,Destination_Latitude,Destination_Longitude,Travel Distance (round trip km),Travel CO2 (tonnes),Travel Cost (USD)
129,Iran,Middle East,2019,0,32.6475314,54.56435160000001,0,"New Orleans, Louisiana",29.9499323,-90.0701156,24241.184321061668,3.795037510665472,2218.0683653771425
130,Iceland,Europe,2019,0,64.9841821,-18.1059013,0,"New Orleans, Louisiana",29.9499323,-90.0701156,12351.239078353108,1.9146162871241315,1296.8801032270765
131,Italy,Europe,2019,5,42.6384261,12.674297,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17481.150495093152,2.6953662768177478,1835.520801984781
132,Japan,Asia,2019,62,36.5748441,139.2394179,0,"New Orleans, Louisiana",29.9499323,-90.0701156,22013.365475924962,3.4237358301920433,2014.222941047134
133,Kenya,Africa,2019,0,1.4419683,38.431397499999996,0,"New Orleans, Louisiana",29.9499323,-90.0701156,27082.826008454496,4.281336095939804,2478.0785797735866
134,Cambodia,Asia,2019,0,13.5066394,104.869423,0,"New Orleans, Louisiana",29.9499323,-90.0701156,29849.258489695443,4.768434398580603,2731.2071518071334
135,North Korea,Asia,2019,1,40.37366110000001,127.08704170000001,0,"New Orleans, Louisiana",29.9499323,-90.0701156,22615.876448008512,3.5232910495344245,2069.352694992779
136,South Korea,Asia,2019,103,36.638391999999996,127.69611880000001,0,"New Orleans, Louisiana",29.9499323,-90.0701156,23256.992481613623,3.6299276823721636,2128.0148120676467
137,Lebanon,Middle East,2019,0,33.875062899999996,35.843409,0,"New Orleans, Louisiana",29.9499323,-90.0701156,21852.43533542817,3.3972529791700903,1999.4978331916777
138,Sri Lanka,Asia,2019,0,7.555494199999999,80.7137847,0,"New Orleans, Louisiana",29.9499323,-90.0701156,31460.019109074958,5.058260971925168,2878.5917484803585
139,Lithuania,Europe,2019,0,55.350000300000005,23.7499997,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17296.569650374757,2.6664695565037397,1816.1398132893496
140,Luxembourg,Europe,2019,1,49.8158683,6.1296751,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15850.799490196947,2.442206596172419,1664.3339464706794
141,Latvia,Europe,2019,1,56.8406494,24.7537645,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17202.162623687145,2.6517130433048206,1806.2270754871504
142,Morocco,Africa,2019,1,31.1728205,-7.3362482,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15429.218631099406,2.3775060809592308,1620.0679562654377
143,Mali,Africa,2019,0,16.3700359,-2.2900238999999996,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17800.784845224964,2.745548064669736,1869.0824087486214
144,Mauritius,Africa,2019,0,-20.2759451,57.5703566,0,"New Orleans, Louisiana",29.9499323,-90.0701156,33195.59930419942,5.3756641051157334,3037.397336334247
145,Malawi,Africa,2019,0,-13.2687204,33.9301963,0,"New Orleans, Louisiana",29.9499323,-90.0701156,27995.803759938528,4.440597174632257,2561.616044034375
